4.99012877e-01,2.21997870e-02,-4.99012877e-01,-2.21997870e-02,-1.97457033e-01,-1.97457033e-01,1.97457033e-01,-2.21705143e+00
4.96049560e-01,4.43115710e-02,-4.96049560e-01,-4.43115710e-02,-3.95303887e-01,-3.95303887e-01,3.95303887e-01,-2.20382048e+00
4.91104199e-01,6.62461235e-02,-4.91104199e-01,-6.62461235e-02,-5.93931062e-01,-5.93931062e-01,5.93931062e-01,-2.18156368e+00
4.84167035e-01,8.79117222e-02,-4.84167035e-01,-8.79117222e-02,-7.93730117e-01,-7.93730117e-01,7.93730117e-01,-2.14996573e+00
4.75224386e-01,1.09212795e-01,-4.75224386e-01,-1.09212795e-01,-9.95093422e-01,-9.95093422e-01,9.95093422e-01,-2.10856978e+00
4.64258651e-01,1.30048428e-01,-4.64258651e-01,-1.30048428e-01,-1.19841283e+00,-1.19841283e+00,1.19841283e+00,-2.05676083e+00
4.51248321e-01,1.50310673e-01,-4.51248321e-01,-1.50310673e-01,-1.40407660e+00,-1.40407660e+00,1.40407660e+00,-1.99374263e+00
4.36168047e-01,1.69882585e-01,-4.36168047e-01,-1.69882585e-01,-1.61246365e+00,-1.61246365e+00,1.61246365e+00,-1.91850646e+00
4.18988777e-01,1.88635905e-01,-4.18988777e-01,-1.88635905e-01,-1.82393366e+00,-1.82393366e+00,1.82393366e+00,-1.82978966e+00
3.99678022e-01,2.06428254e-01,-3.99678022e-01,-2.06428254e-01,-2.03881074e+00,-2.03881074e+00,2.03881074e+00,-1.72602076e+00
3.78200334e-01,2.23099702e-01,-3.78200334e-01,-2.23099702e-01,-2.25735714e+00,-2.25735714e+00,2.25735714e+00,-1.60524712e+00
3.54518119e-01,2.38468499e-01,-3.54518119e-01,-2.38468499e-01,-2.47973128e+00,-2.47973128e+00,2.47973128e+00,-1.46503910e+00
3.28592981e-01,2.52325700e-01,-3.28592981e-01,-2.52325700e-01,-2.70592097e+00,-2.70592097e+00,2.70592097e+00,-1.30236287e+00
3.00387922e-01,2.64428316e-01,-3.00387922e-01,-2.64428316e-01,-2.93563660e+00,-2.93563660e+00,2.93563660e+00,-1.11341112e+00
