%Time(s.),X-Position (x[2]),Y-Position (x[1]),Input u
7.60000000e-01,9.00022930e-03,1.30589959e-02,8.11428267e-01
7.70000000e-01,9.13063667e-03,1.30745178e-02,8.12874060e-01
7.80000000e-01,9.26119398e-03,1.30890452e-02,8.14299994e-01
7.90000000e-01,9.39189126e-03,1.31025664e-02,8.15706555e-01
8.00000000e-01,9.52271839e-03,1.31150699e-02,8.17094209e-01
8.10000000e-01,9.65366517e-03,1.31265438e-02,8.18463408e-01
8.20000000e-01,9.78472127e-03,1.31369766e-02,8.19814586e-01
8.30000000e-01,9.91587622e-03,1.31463566e-02,8.21148162e-01
8.40000000e-01,1.00471195e-02,1.31546721e-02,8.22464542e-01
8.50000000e-01,1.01784403e-02,1.31619117e-02,8.23764115e-01
8.60000000e-01,1.03098280e-02,1.31680637e-02,8.25047261e-01
8.70000000e-01,1.04412716e-02,1.31731164e-02,8.26314343e-01
8.80000000e-01,1.05727601e-02,1.31770585e-02,8.27565716e-01
8.90000000e-01,1.07042823e-02,1.31798782e-02,8.28801721e-01
9.00000000e-01,1.08358270e-02,1.31815642e-02,8.30022688e-01
9.10000000e-01,1.09673829e-02,1.31821049e-02,8.31228937e-01
9.20000000e-01,1.10989383e-02,1.31814888e-02,8.32420779e-01
9.30000000e-01,1.12304817e-02,1.31797044e-02,8.33598512e-01
9.40000000e-01,1.13620015e-02,1.31767403e-02,8.34762429e-01
9.50000000e-01,1.14934857e-02,1.31725850e-02,8.35912811e-01
9.60000000e-01,1.16249224e-02,1.31672272e-02,8.37049931e-01
9.70000000e-01,1.17562996e-02,1.31606555e-02,8.38174055e-01
9.80000000e-01,1.18876052e-02,1.31528584e-02,8.39285440e-01
9.90000000e-01,1.20188267e-02,1.31438247e-02,8.40384336e-01
1.00000000e+00,1.21499518e-02,1.31335430e-02,8.41470985e-01
1.01000000e+00,1.22809680e-02,1.31220020e-02,8.42545622e-01
1.02000000e+00,1.24118627e-02,1.31091904e-02,8.43608478e-01
1.03000000e+00,1.25426232e-02,1.30950969e-02,8.44659773e-01
1.04000000e+00,1.26732365e-02,1.30797105e-02,8.45699723e-01
1.05000000e+00,1.28036898e-02,1.30630197e-02,8.46728540e-01
1.06000000e+00,1.29339699e-02,1.30450136e-02,8.47746427e-01
1.07000000e+00,1.30640637e-02,1.30256809e-02,8.48753583e-01
1.08000000e+00,1.31939579e-02,1.30050104e-02,8.49750201e-01
1.09000000e+00,1.33236390e-02,1.29829912e-02,8.50736470e-01
1.10000000e+00,1.34530936e-02,1.29596122e-02,8.51712573e-01
1.11000000e+00,1.35823080e-02,1.29348623e-02,8.52678688e-01
1.12000000e+00,1.37112686e-02,1.29087306e-02,8.53634989e-01
1.13000000e+00,1.38399614e-02,1.28812060e-02,8.54581645e-01
1.14000000e+00,1.39683724e-02,1.28522778e-02,8.55518822e-01
1.15000000e+00,1.40964877e-02,1.28219349e-02,8.56446679e-01
1.16000000e+00,1.42242931e-02,1.27901666e-02,8.57365375e-01
1.17000000e+00,1.43517742e-02,1.27569620e-02,8.58275060e-01
1.18000000e+00,1.44789168e-02,1.27223104e-02,8.59175886e-01
1.19000000e+00,1.46057062e-02,1.26862010e-02,8.60067996e-01
1.20000000e+00,1.47321279e-02,1.26486232e-02,8.60951533e-01
1.21000000e+00,1.48581672e-02,1.26095663e-02,8.61826636e-01
1.22000000e+00,1.49838093e-02,1.25690197e-02,8.62693439e-01
1.23000000e+00,1.51090392e-02,1.25269729e-02,8.63552074e-01
1.24000000e+00,1.52338420e-02,1.24834153e-02,8.64402670e-01
1.25000000e+00,1.53582024e-02,1.24383365e-02,8.65245354e-01
1.26000000e+00,1.54821054e-02,1.23917261e-02,8.66080247e-01
1.27000000e+00,1.56055354e-02,1.23435737e-02,8.66907470e-01
1.28000000e+00,1.57284771e-02,1.22938690e-02,8.67727140e-01
1.29000000e+00,1.58509150e-02,1.22426018e-02,8.68539372e-01
1.30000000e+00,1.59728334e-02,1.21897618e-02,8.69344278e-01
1.31000000e+00,1.60942165e-02,1.21353390e-02,8.70141968e-01
1.32000000e+00,1.62150485e-02,1.20793231e-02,8.70932548e-01
1.33000000e+00,1.63353135e-02,1.20217043e-02,8.71716124e-01
1.34000000e+00,1.64549953e-02,1.19624725e-02,8.72492798e-01
1.35000000e+00,1.65740780e-02,1.19016177e-02,8.73262670e-01
1.36000000e+00,1.66925451e-02,1.18391303e-02,8.74025839e-01
1.37000000e+00,1.68103805e-02,1.17750003e-02,8.74782400e-01
1.38000000e+00,1.69275675e-02,1.17092181e-02,8.75532448e-01
1.39000000e+00,1.70440898e-02,1.16417740e-02,8.76276074e-01
1.40000000e+00,1.71599306e-02,1.15726584e-02,8.77013370e-01
1.41000000e+00,1.72750732e-02,1.15018618e-02,8.77744422e-01
1.42000000e+00,1.73895008e-02,1.14293748e-02,8.78469317e-01
1.43000000e+00,1.75031965e-02,1.13551880e-02,8.79188141e-01
1.44000000e+00,1.76161433e-02,1.12792921e-02,8.79900976e-01
1.45000000e+00,1.77283241e-02,1.12016779e-02,8.80607903e-01
1.46000000e+00,1.78397216e-02,1.11223362e-02,8.81309002e-01
1.47000000e+00,1.79503187e-02,1.10412579e-02,8.82004350e-01
1.48000000e+00,1.80600978e-02,1.09584341e-02,8.82694026e-01
1.49000000e+00,1.81690417e-02,1.08738559e-02,8.83378102e-01
1.50000000e+00,1.82771326e-02,1.07875145e-02,8.84056654e-01
1.51000000e+00,1.83843529e-02,1.06994010e-02,8.84729753e-01
1.52000000e+00,1.84906851e-02,1.06095070e-02,8.85397470e-01
1.53000000e+00,1.85961111e-02,1.05178237e-02,8.86059874e-01
1.54000000e+00,1.87006131e-02,1.04243427e-02,8.86717034e-01
1.55000000e+00,1.88041732e-02,1.03290557e-02,8.87369015e-01
1.56000000e+00,1.89067732e-02,1.02319543e-02,8.88015884e-01
1.57000000e+00,1.90083951e-02,1.01330304e-02,8.88657705e-01
1.58000000e+00,1.91090206e-02,1.00322758e-02,8.89294541e-01
1.59000000e+00,1.92086313e-02,9.92968253e-03,8.89926454e-01
1.60000000e+00,1.93072089e-02,9.82524273e-03,8.90553505e-01
1.61000000e+00,1.94047350e-02,9.71894856e-03,8.91175753e-01
1.62000000e+00,1.95011909e-02,9.61079232e-03,8.91793257e-01
1.63000000e+00,1.95965581e-02,9.50076642e-03,8.92406075e-01
1.64000000e+00,1.96908179e-02,9.38886336e-03,8.93014263e-01
1.65000000e+00,1.97839514e-02,9.27507576e-03,8.93617876e-01
1.66000000e+00,1.98759399e-02,9.15939634e-03,8.94216970e-01
1.67000000e+00,1.99667644e-02,9.04181794e-03,8.94811597e-01
1.68000000e+00,2.00564060e-02,8.92233350e-03,8.95401811e-01
1.69000000e+00,2.01448455e-02,8.80093608e-03,8.95987663e-01
1.70000000e+00,2.02320639e-02,8.67761887e-03,8.96569204e-01
1.71000000e+00,2.03180420e-02,8.55237515e-03,8.97146484e-01
1.72000000e+00,2.04027605e-02,8.42519834e-03,8.97719552e-01
1.73000000e+00,2.04862000e-02,8.29608198e-03,8.98288456e-01
1.74000000e+00,2.05683413e-02,8.16501973e-03,8.98853244e-01
1.75000000e+00,2.06491648e-02,8.03200536e-03,8.99413963e-01
1.76000000e+00,2.07286510e-02,7.89703280e-03,8.99970658e-01
1.77000000e+00,2.08067804e-02,7.76009606e-03,9.00523375e-01
1.78000000e+00,2.08835333e-02,7.62118933e-03,9.01072158e-01
1.79000000e+00,2.09588900e-02,7.48030689e-03,9.01617050e-01
1.80000000e+00,2.10328309e-02,7.33744319e-03,9.02158095e-01
1.81000000e+00,2.11053360e-02,7.19259279e-03,9.02695335e-01
1.82000000e+00,2.11763856e-02,7.04575039e-03,9.03228811e-01
1.83000000e+00,2.12459597e-02,6.89691085e-03,9.03758564e-01
1.84000000e+00,2.13140383e-02,6.74606913e-03,9.04284635e-01
1.85000000e+00,2.13806016e-02,6.59322038e-03,9.04807063e-01
1.86000000e+00,2.14456293e-02,6.43835985e-03,9.05325887e-01
1.87000000e+00,2.15091015e-02,6.28148298e-03,9.05841145e-01
1.88000000e+00,2.15709979e-02,6.12258531e-03,9.06352876e-01
1.89000000e+00,2.16312984e-02,5.96166258e-03,9.06861116e-01
1.90000000e+00,2.16899828e-02,5.79871064e-03,9.07365903e-01
1.91000000e+00,2.17470307e-02,5.63372552e-03,9.07867271e-01
1.92000000e+00,2.18024219e-02,5.46670338e-03,9.08365257e-01
1.93000000e+00,2.18561360e-02,5.29764057e-03,9.08859895e-01
1.94000000e+00,2.19081527e-02,5.12653358e-03,9.09351220e-01
1.95000000e+00,2.19584514e-02,4.95337905e-03,9.09839267e-01
1.96000000e+00,2.20070119e-02,4.77817381e-03,9.10324067e-01
1.97000000e+00,2.20538135e-02,4.60091484e-03,9.10805655e-01
1.98000000e+00,2.20988358e-02,4.42159927e-03,9.11284062e-01
1.99000000e+00,2.21420582e-02,4.24022443e-03,9.11759320e-01
2.00000000e+00,2.21834602e-02,4.05678780e-03,9.12231462e-01
2.01000000e+00,2.22230212e-02,3.87128704e-03,9.12700517e-01
2.02000000e+00,2.22607205e-02,3.68371999e-03,9.13166517e-01
2.03000000e+00,2.22965376e-02,3.49408464e-03,9.13629491e-01
2.04000000e+00,2.23304518e-02,3.30237918e-03,9.14089469e-01
2.05000000e+00,2.23624424e-02,3.10860199e-03,9.14546481e-01
2.06000000e+00,2.23924887e-02,2.91275160e-03,9.15000555e-01
2.07000000e+00,2.24205701e-02,2.71482675e-03,9.15451720e-01
2.08000000e+00,2.24466658e-02,2.51482635e-03,9.15900004e-01
2.09000000e+00,2.24707552e-02,2.31274950e-03,9.16345433e-01
2.10000000e+00,2.24928174e-02,2.10859550e-03,9.16788037e-01
2.11000000e+00,2.25128317e-02,1.90236383e-03,9.17227840e-01
2.12000000e+00,2.25307775e-02,1.69405417e-03,9.17664870e-01
2.13000000e+00,2.25466340e-02,1.48366638e-03,9.18099154e-01
2.14000000e+00,2.25603804e-02,1.27120054e-03,9.18530716e-01
2.15000000e+00,2.25719960e-02,1.05665691e-03,9.18959582e-01
2.16000000e+00,2.25814601e-02,8.40035961e-04,9.19385777e-01
2.17000000e+00,2.25887519e-02,6.21338359e-04,9.19809326e-01
2.18000000e+00,2.25938507e-02,4.00564979e-04,9.20230253e-01
2.19000000e+00,2.25967358e-02,1.77716902e-04,9.20648582e-01
2.20000000e+00,2.25973866e-02,-4.72045848e-05,9.21064338e-01
2.21000000e+00,2.25957822e-02,-2.74197981e-04,9.21477542e-01
2.22000000e+00,2.25919022e-02,-5.03261578e-04,9.21888219e-01
2.23000000e+00,2.25857257e-02,-7.34393449e-04,9.22296391e-01
2.24000000e+00,2.25772322e-02,-9.67591455e-04,9.22702081e-01
2.25000000e+00,2.25664010e-02,-1.20285324e-03,9.23105311e-01
2.26000000e+00,2.25532116e-02,-1.44017622e-03,9.23506103e-01
2.27000000e+00,2.25376435e-02,-1.67955760e-03,9.23904478e-01
2.28000000e+00,2.25196760e-02,-1.92099436e-03,9.24300457e-01
2.29000000e+00,2.24992888e-02,-2.16448325e-03,9.24694063e-01
2.30000000e+00,2.24764612e-02,-2.41002079e-03,9.25085315e-01
2.31000000e+00,2.24511730e-02,-2.65760329e-03,9.25474234e-01
2.32000000e+00,2.24234037e-02,-2.90722680e-03,9.25860841e-01
2.33000000e+00,2.23931330e-02,-3.15888715e-03,9.26245155e-01
2.34000000e+00,2.23603405e-02,-3.41257996e-03,9.26627196e-01
2.35000000e+00,2.23250060e-02,-3.66830056e-03,9.27006984e-01
2.36000000e+00,2.22871094e-02,-3.92604410e-03,9.27384537e-01
2.37000000e+00,2.22466303e-02,-4.18580545e-03,9.27759876e-01
2.38000000e+00,2.22035488e-02,-4.44757924e-03,9.28133018e-01
2.39000000e+00,2.21578447e-02,-4.71135988e-03,9.28503982e-01
2.40000000e+00,2.21094981e-02,-4.97714152e-03,9.28872787e-01
2.41000000e+00,2.20584889e-02,-5.24491806e-03,9.29239451e-01
2.42000000e+00,2.20047975e-02,-5.51468314e-03,9.29603991e-01
2.43000000e+00,2.19484038e-02,-5.78643018e-03,9.29966426e-01
2.44000000e+00,2.18892883e-02,-6.06015232e-03,9.30326772e-01
2.45000000e+00,2.18274311e-02,-6.33584244e-03,9.30685047e-01
2.46000000e+00,2.17628128e-02,-6.61349320e-03,9.31041268e-01
2.47000000e+00,2.16954137e-02,-6.89309695e-03,9.31395452e-01
2.48000000e+00,2.16252145e-02,-7.17464583e-03,9.31747614e-01
2.49000000e+00,2.15521957e-02,-7.45813168e-03,9.32097773e-01
2.50000000e+00,2.14763380e-02,-7.74354610e-03,9.32445944e-01
2.51000000e+00,2.13976224e-02,-8.03088040e-03,9.32792143e-01
2.52000000e+00,2.13160295e-02,-8.32012564e-03,9.33136386e-01
2.53000000e+00,2.12315405e-02,-8.61127261e-03,9.33478688e-01
2.54000000e+00,2.11441363e-02,-8.90431183e-03,9.33819065e-01
2.55000000e+00,2.10537982e-02,-9.19923352e-03,9.34157533e-01
2.56000000e+00,2.09605075e-02,-9.49602767e-03,9.34494106e-01
2.57000000e+00,2.08642453e-02,-9.79468396e-03,9.34828800e-01
2.58000000e+00,2.07649934e-02,-1.00951918e-02,9.35161628e-01
2.59000000e+00,2.06627331e-02,-1.03975403e-02,9.35492607e-01
2.60000000e+00,2.05574463e-02,-1.07017184e-02,9.35821750e-01
2.61000000e+00,2.04491146e-02,-1.10077145e-02,9.36149071e-01
2.62000000e+00,2.03377201e-02,-1.13155170e-02,9.36474585e-01
2.63000000e+00,2.02232447e-02,-1.16251139e-02,9.36798306e-01
2.64000000e+00,2.01056706e-02,-1.19364929e-02,9.37120247e-01
2.65000000e+00,1.99849801e-02,-1.22496413e-02,9.37440422e-01
2.66000000e+00,1.98611556e-02,-1.25645464e-02,9.37758845e-01
2.67000000e+00,1.97341796e-02,-1.28811948e-02,9.38075528e-01
2.68000000e+00,1.96040348e-02,-1.31995733e-02,9.38390486e-01
2.69000000e+00,1.94707040e-02,-1.35196679e-02,9.38703731e-01
2.70000000e+00,1.93341701e-02,-1.38414647e-02,9.39015276e-01
2.71000000e+00,1.91944162e-02,-1.41649493e-02,9.39325133e-01
2.72000000e+00,1.90514256e-02,-1.44901069e-02,9.39633317e-01
2.73000000e+00,1.89051816e-02,-1.48169227e-02,9.39939838e-01
2.74000000e+00,1.87556678e-02,-1.51453814e-02,9.40244709e-01
2.75000000e+00,1.86028677e-02,-1.54754673e-02,9.40547943e-01
2.76000000e+00,1.84467654e-02,-1.58071646e-02,9.40849552e-01
2.77000000e+00,1.82873447e-02,-1.61404571e-02,9.41149547e-01
2.78000000e+00,1.81245899e-02,-1.64753282e-02,9.41447941e-01
2.79000000e+00,1.79584852e-02,-1.68117612e-02,9.41744744e-01
2.80000000e+00,1.77890152e-02,-1.71497389e-02,9.42039970e-01
2.81000000e+00,1.76161645e-02,-1.74892438e-02,9.42333628e-01
2.82000000e+00,1.74399180e-02,-1.78302582e-02,9.42625731e-01
2.83000000e+00,1.72602606e-02,-1.81727640e-02,9.42916290e-01
2.84000000e+00,1.70771777e-02,-1.85167427e-02,9.43205316e-01
2.85000000e+00,1.68906546e-02,-1.88621756e-02,9.43492819e-01
2.86000000e+00,1.67006769e-02,-1.92090437e-02,9.43778811e-01
2.87000000e+00,1.65072304e-02,-1.95573276e-02,9.44063303e-01
2.88000000e+00,1.63103010e-02,-1.99070075e-02,9.44346305e-01
2.89000000e+00,1.61098749e-02,-2.02580635e-02,9.44627827e-01
2.90000000e+00,1.59059384e-02,-2.06104751e-02,9.44907881e-01
2.91000000e+00,1.56984782e-02,-2.09642216e-02,9.45186476e-01
2.92000000e+00,1.54874810e-02,-2.13192820e-02,9.45463622e-01
2.93000000e+00,1.52729338e-02,-2.16756350e-02,9.45739330e-01
2.94000000e+00,1.50548239e-02,-2.20332589e-02,9.46013610e-01
2.95000000e+00,1.48331386e-02,-2.23921316e-02,9.46286472e-01
2.96000000e+00,1.46078656e-02,-2.27522307e-02,9.46557925e-01
2.97000000e+00,1.43789927e-02,-2.31135335e-02,9.46827980e-01
2.98000000e+00,1.41465082e-02,-2.34760170e-02,9.47096645e-01
2.99000000e+00,1.39104002e-02,-2.38396578e-02,9.47363930e-01
3.00000000e+00,1.36706574e-02,-2.42044321e-02,9.47629846e-01
3.01000000e+00,1.34272687e-02,-2.45703159e-02,9.47894400e-01
3.02000000e+00,1.31802229e-02,-2.49372847e-02,9.48157603e-01
3.03000000e+00,1.29295095e-02,-2.53053138e-02,9.48419463e-01
3.04000000e+00,1.26751179e-02,-2.56743781e-02,9.48679990e-01
3.05000000e+00,1.24170380e-02,-2.60444520e-02,9.48939193e-01
3.06000000e+00,1.21552599e-02,-2.64155098e-02,9.49197080e-01
3.07000000e+00,1.18897737e-02,-2.67875253e-02,9.49453660e-01
3.08000000e+00,1.16205702e-02,-2.71604720e-02,9.49708942e-01
3.09000000e+00,1.13476401e-02,-2.75343230e-02,9.49962934e-01
3.10000000e+00,1.10709746e-02,-2.79090512e-02,9.50215646e-01
3.11000000e+00,1.07905650e-02,-2.82846288e-02,9.50467086e-01
3.12000000e+00,1.05064031e-02,-2.86610280e-02,9.50717261e-01
3.13000000e+00,1.02184806e-02,-2.90382206e-02,9.50966181e-01
3.14000000e+00,9.92678997e-03,-2.94161777e-02,9.51213853e-01
3.15000000e+00,9.63132359e-03,-2.97948706e-02,9.51460286e-01
3.16000000e+00,9.33207431e-03,-3.01742697e-02,9.51705487e-01
3.17000000e+00,9.02903521e-03,-3.05543454e-02,9.51949466e-01
3.18000000e+00,8.72219970e-03,-3.09350675e-02,9.52192229e-01
3.19000000e+00,8.41156147e-03,-3.13164057e-02,9.52433784e-01
3.20000000e+00,8.09711454e-03,-3.16983291e-02,9.52674140e-01
3.21000000e+00,7.77885322e-03,-3.20808065e-02,9.52913304e-01
3.22000000e+00,7.45677213e-03,-3.24638064e-02,9.53151284e-01
3.23000000e+00,7.13086622e-03,-3.28472969e-02,9.53388086e-01
3.24000000e+00,6.80113075e-03,-3.32312458e-02,9.53623720e-01
3.25000000e+00,6.46756133e-03,-3.36156204e-02,9.53858191e-01
3.26000000e+00,6.13015385e-03,-3.40003877e-02,9.54091508e-01
3.27000000e+00,5.78890456e-03,-3.43855143e-02,9.54323678e-01
3.28000000e+00,5.44381006e-03,-3.47709665e-02,9.54554707e-01
3.29000000e+00,5.09486726e-03,-3.51567101e-02,9.54784604e-01
3.30000000e+00,4.74207342e-03,-3.55427109e-02,9.55013375e-01
3.31000000e+00,4.38542616e-03,-3.59289337e-02,9.55241027e-01
3.32000000e+00,4.02492342e-03,-3.63153436e-02,9.55467567e-01
3.33000000e+00,3.66056353e-03,-3.67019048e-02,9.55693003e-01
3.34000000e+00,3.29234515e-03,-3.70885814e-02,9.55917340e-01
3.35000000e+00,2.92026731e-03,-3.74753372e-02,9.56140587e-01
3.36000000e+00,2.54432941e-03,-3.78621353e-02,9.56362748e-01
3.37000000e+00,2.16453120e-03,-3.82489387e-02,9.56583832e-01
3.38000000e+00,1.78087282e-03,-3.86357101e-02,9.56803844e-01
3.39000000e+00,1.39335478e-03,-3.90224115e-02,9.57022792e-01
3.40000000e+00,1.00197797e-03,-3.94090048e-02,9.57240681e-01
3.41000000e+00,6.06743661e-04,-3.97954514e-02,9.57457519e-01
3.42000000e+00,2.07653508e-04,-4.01817123e-02,9.57673311e-01
3.43000000e+00,-1.95290438e-04,-4.05677484e-02,9.57888064e-01
3.44000000e+00,-6.02085735e-04,-4.09535199e-02,9.58101784e-01
