0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,6.28318520e+00
1.00000000e-02,9.98026726e-01,6.27905102e-02,-3.94524896e-01,6.27078675e+00
2.00000000e-02,9.92114693e-01,1.25333215e-01,-7.87492787e-01,6.23364035e+00
3.00000000e-02,9.82287233e-01,1.87381286e-01,-1.17735281e+00,6.17189260e+00
4.00000000e-02,9.68583129e-01,2.48689848e-01,-1.56256638e+00,6.08578717e+00
5.00000000e-02,9.51056467e-01,3.09016943e-01,-1.94161322e+00,5.97566390e+00
6.00000000e-02,9.29776414e-01,3.68124488e-01,-2.31299742e+00,5.84195737e+00
7.00000000e-02,9.04826955e-01,4.25779213e-01,-2.67525330e+00,5.68519526e+00
8.00000000e-02,8.76306553e-01,4.81753579e-01,-3.02695120e+00,5.50599624e+00
9.00000000e-02,8.44327763e-01,5.35826681e-01,-3.36670313e+00,5.30506751e+00
1.00000000e-01,8.09016793e-01,5.87785117e-01,-3.69316824e+00,5.08320205e+00
1.10000000e-01,7.70512998e-01,6.37423829e-01,-4.00505812e+00,4.84127545e+00
1.20000000e-01,7.28968335e-01,6.84546916e-01,-4.30114189e+00,4.58024247e+00
1.30000000e-01,6.84546760e-01,7.28968404e-01,-4.58025102e+00,4.30113328e+00
1.40000000e-01,6.37423587e-01,7.70512980e-01,-4.84128400e+00,4.00504940e+00
1.50000000e-01,5.87784789e-01,8.09016687e-01,-5.08321065e+00,3.69315933e+00
1.60000000e-01,5.35826266e-01,8.44327566e-01,-5.30507619e+00,3.36669395e+00
1.70000000e-01,4.81753076e-01,8.76306261e-01,-5.50600499e+00,3.02694167e+00
1.80000000e-01,4.25778622e-01,9.04826565e-01,-5.68520409e+00,2.67524332e+00
1.90000000e-01,3.68123809e-01,9.29775921e-01,-5.84196625e+00,2.31298690e+00
2.00000000e-01,3.09016174e-01,9.51055864e-01,-5.97567279e+00,1.94160206e+00
2.10000000e-01,2.48688989e-01,9.68582411e-01,-6.08579603e+00,1.56255450e+00
2.20000000e-01,1.87380339e-01,9.82286390e-01,-6.17190134e+00,1.17734013e+00
2.30000000e-01,1.25332182e-01,9.92113719e-01,-6.23364889e+00,7.87479237e-01
2.40000000e-01,6.27893933e-02,9.98025611e-01,-6.27079499e+00,3.94510414e-01
2.50000000e-01,-1.19728738e-06,9.99998735e-01,-6.28319302e+00,-1.54622295e-05
2.60000000e-01,-6.27917831e-02,9.98025301e-01,-6.27079403e+00,-3.94541371e-01
2.70000000e-01,-1.25334557e-01,9.92113098e-01,-6.23364696e+00,-7.87510292e-01
2.80000000e-01,-1.87382690e-01,9.82285457e-01,-6.17189840e+00,-1.17737135e+00
2.90000000e-01,-2.48691305e-01,9.68581164e-01,-6.08579202e+00,-1.56258592e+00
3.00000000e-01,-3.09018444e-01,9.51054301e-01,-5.97566764e+00,-1.94163373e+00
3.10000000e-01,-3.68126021e-01,9.29774039e-01,-5.84195986e+00,-2.31301884e+00
3.20000000e-01,-4.25780763e-01,9.04824361e-01,-5.68519636e+00,-2.67527555e+00
3.30000000e-01,-4.81755133e-01,8.76303732e-01,-5.50599581e+00,-3.02697418e+00
3.40000000e-01,-5.35828222e-01,8.44324710e-01,-5.30506542e+00,-3.36672672e+00
3.50000000e-01,-5.87786628e-01,8.09013501e-01,-5.08319818e+00,-3.69319231e+00
3.60000000e-01,-6.37425292e-01,7.70509464e-01,-4.84126969e+00,-4.00508251e+00
3.70000000e-01,-6.84548312e-01,7.28964556e-01,-4.58023474e+00,-4.30116643e+00
3.80000000e-01,-7.28969713e-01,6.84542736e-01,-4.30112352e+00,-4.58027553e+00
3.90000000e-01,-7.70514181e-01,6.37419319e-01,-4.00503754e+00,-4.84130829e+00
4.00000000e-01,-8.09017758e-01,5.87780279e-01,-3.69314535e+00,-5.08323450e+00
4.10000000e-01,-8.44328487e-01,5.35821521e-01,-3.36667784e+00,-5.30509939e+00
4.20000000e-01,-8.76307010e-01,4.81748104e-01,-3.02692343e+00,-5.50602733e+00
4.30000000e-01,-9.04827121e-01,4.25773431e-01,-2.67522301e+00,-5.68522535e+00
4.40000000e-01,-9.29776264e-01,3.68118412e-01,-2.31296458e+00,-5.84198621e+00
4.50000000e-01,-9.51055974e-01,3.09010585e-01,-1.94157782e+00,-5.97569125e+00
4.60000000e-01,-9.68582269e-01,2.48683224e-01,-1.56252844e+00,-6.08581277e+00
4.70000000e-01,-9.82285980e-01,1.87374416e-01,-1.17731240e+00,-6.17191617e+00
4.80000000e-01,-9.92113024e-01,1.25326120e-01,-7.87449992e-01,-6.23366163e+00
4.90000000e-01,-9.98024616e-01,6.27832155e-02,-3.94479833e-01,-6.27080547e+00
5.00000000e-01,-9.99997428e-01,-7.46797860e-06,4.71797248e-05,-6.28320109e+00
5.10000000e-01,-9.98023673e-01,-6.27981219e-02,3.94574010e-01,-6.27079957e+00
5.20000000e-01,-9.92111140e-01,-1.25340938e-01,7.87543620e-01,-6.23364986e+00
5.30000000e-01,-9.82283163e-01,-1.87389087e-01,1.17740512e+00,-6.17189856e+00
5.40000000e-01,-9.68578530e-01,-2.48697690e-01,1.56261989e+00,-6.08578940e+00
5.50000000e-01,-9.51051328e-01,-3.09024788e-01,1.94166763e+00,-5.97566220e+00
5.60000000e-01,-9.29770729e-01,-3.68132296e-01,2.31305242e+00,-5.84195161e+00
5.70000000e-01,-9.04820718e-01,-4.25786942e-01,2.67530853e+00,-5.68518531e+00
5.80000000e-01,-8.76299763e-01,-4.81761187e-01,3.02700631e+00,-5.50598201e+00
